Census Year,Measure,Area Unit,Area Unit Code,Value,Value Unit,Value Label,Null Reason
2001,Median household income ($),Awanui,Awanui,26300,nzd,NZD,
2006,Median household income ($),Awanui,Awanui,30300,nzd,NZD,
2013,Median household income ($),Awanui,Awanui,46700,nzd,NZD,
2001,Median household income ($),Karikari Peninsula-Maungataniwha,Karikari Peninsula-Maungataniwha,26200,nzd,NZD,
2006,Median household income ($),Karikari Peninsula-Maungataniwha,Karikari Peninsula-Maungataniwha,34500,nzd,NZD,
2013,Median household income ($),Karikari Peninsula-Maungataniwha,Karikari Peninsula-Maungataniwha,37700,nzd,NZD,
2001,Median household income ($),Taipa Bay-Mangonui,Taipa Bay-Mangonui,25900,nzd,NZD,
2006,Median household income ($),Taipa Bay-Mangonui,Taipa Bay-Mangonui,29100,nzd,NZD,
2013,Median household income ($),Taipa Bay-Mangonui,Taipa Bay-Mangonui,37900,nzd,NZD,
2001,Median household income ($),Herekino,Herekino,33000,nzd,NZD,
2006,Median household income ($),Herekino,Herekino,45800,nzd,NZD,
2013,Median household income ($),Herekino,Herekino,54400,nzd,NZD,
2001,Median household income ($),Ahipara,Ahipara,28600,nzd,NZD,
2006,Median household income ($),Ahipara,Ahipara,35100,nzd,NZD,
2013,Median household income ($),Ahipara,Ahipara,41800,nzd,NZD,
2001,Median household income ($),North Cape,North Cape,25800,nzd,NZD,
2006,Median household income ($),North Cape,North Cape,34200,nzd,NZD,
2013,Median household income ($),North Cape,North Cape,37500,nzd,NZD,
2001,Median household income ($),Houhora,Houhora,28900,nzd,NZD,
2006,Median household income ($),Houhora,Houhora,32200,nzd,NZD,
2013,Median household income ($),Houhora,Houhora,37000,nzd,NZD,
2001,Median household income ($),Motutangi-Kareponia,Motutangi-Kareponia,28800,nzd,NZD,
2006,Median household income ($),Motutangi-Kareponia,Motutangi-Kareponia,38600,nzd,NZD,
2013,Median household income ($),Motutangi-Kareponia,Motutangi-Kareponia,48700,nzd,NZD,
2001,Median household income ($),Kaitaia West,Kaitaia West,25100,nzd,NZD,
2006,Median household income ($),Kaitaia West,Kaitaia West,27800,nzd,NZD,
2013,Median household income ($),Kaitaia West,Kaitaia West,33500,nzd,NZD,
2001,Median household income ($),Kaitaia East,Kaitaia East,27400,nzd,NZD,
2006,Median household income ($),Kaitaia East,Kaitaia East,32500,nzd,NZD,
2013,Median household income ($),Kaitaia East,Kaitaia East,34900,nzd,NZD,
2001,Median household income ($),Kaeo,Kaeo,26500,nzd,NZD,
2006,Median household income ($),Kaeo,Kaeo,32500,nzd,NZD,
2013,Median household income ($),Kaeo,Kaeo,32100,nzd,NZD,
2001,Median household income ($),Mangapa-Matauri Bay,Mangapa-Matauri Bay,26600,nzd,NZD,
2006,Median household income ($),Mangapa-Matauri Bay,Mangapa-Matauri Bay,34900,nzd,NZD,
2013,Median household income ($),Mangapa-Matauri Bay,Mangapa-Matauri Bay,38500,nzd,NZD,
2001,Median household income ($),Kohukohu,Kohukohu,15300,nzd,NZD,
2006,Median household income ($),Kohukohu,Kohukohu,23300,nzd,NZD,
2013,Median household income ($),Kohukohu,Kohukohu,23800,nzd,NZD,
2001,Median household income ($),Rawene,Rawene,22500,nzd,NZD,
2006,Median household income ($),Rawene,Rawene,31300,nzd,NZD,
2013,Median household income ($),Rawene,Rawene,30100,nzd,NZD,
2001,Median household income ($),Omapere and Opononi,Omapere and Opononi,19300,nzd,NZD,
2006,Median household income ($),Omapere and Opononi,Omapere and Opononi,24300,nzd,NZD,
2013,Median household income ($),Omapere and Opononi,Omapere and Opononi,26500,nzd,NZD,
2001,Median household income ($),Hokianga North,Hokianga North,25100,nzd,NZD,
2006,Median household income ($),Hokianga North,Hokianga North,26400,nzd,NZD,
2013,Median household income ($),Hokianga North,Hokianga North,29900,nzd,NZD,
2001,Median household income ($),Hokianga South,Hokianga South,20400,nzd,NZD,
2006,Median household income ($),Hokianga South,Hokianga South,24600,nzd,NZD,
2013,Median household income ($),Hokianga South,Hokianga South,30500,nzd,NZD,
2001,Median household income ($),Kerikeri,Kerikeri,32200,nzd,NZD,
2006,Median household income ($),Kerikeri,Kerikeri,43000,nzd,NZD,
2013,Median household income ($),Kerikeri,Kerikeri,48300,nzd,NZD,
2001,Median household income ($),Russell,Russell,29000,nzd,NZD,
2006,Median household income ($),Russell,Russell,42500,nzd,NZD,
2013,Median household income ($),Russell,Russell,42100,nzd,NZD,
2001,Median household income ($),Paihia,Paihia,29900,nzd,NZD,
2006,Median household income ($),Paihia,Paihia,39500,nzd,NZD,
2013,Median household income ($),Paihia,Paihia,47800,nzd,NZD,
2001,Median household income ($),Haruru Falls,Haruru Falls,32500,nzd,NZD,
2006,Median household income ($),Haruru Falls,Haruru Falls,42000,nzd,NZD,
2013,Median household income ($),Haruru Falls,Haruru Falls,46100,nzd,NZD,
2001,Median household income ($),Opua East,Opua East,29300,nzd,NZD,
2006,Median household income ($),Opua East,Opua East,54400,nzd,NZD,
2013,Median household income ($),Opua East,Opua East,41700,nzd,NZD,
2001,Median household income ($),Kawakawa,Kawakawa,28000,nzd,NZD,
2006,Median household income ($),Kawakawa,Kawakawa,36900,nzd,NZD,
2013,Median household income ($),Kawakawa,Kawakawa,37500,nzd,NZD,
2001,Median household income ($),Moerewa,Moerewa,25500,nzd,NZD,
2006,Median household income ($),Moerewa,Moerewa,35900,nzd,NZD,
2013,Median household income ($),Moerewa,Moerewa,35400,nzd,NZD,
2001,Median household income ($),Opua West,Opua West,35000,nzd,NZD,
2006,Median household income ($),Opua West,Opua West,46700,nzd,NZD,
2013,Median household income ($),Opua West,Opua West,58300,nzd,NZD,
2001,Median household income ($),Bay of Islands,Bay of Islands,13300,nzd,NZD,
2006,Median household income ($),Bay of Islands,Bay of Islands,,nzd,NZD,confidential
2013,Median household income ($),Bay of Islands,Bay of Islands,,nzd,NZD,confidential
2001,Median household income ($),Kapiro,Kapiro,40200,nzd,NZD,
2006,Median household income ($),Kapiro,Kapiro,50900,nzd,NZD,
2013,Median household income ($),Kapiro,Kapiro,58900,nzd,NZD,
2001,Median household income ($),Waitangi,Waitangi,33100,nzd,NZD,
2006,Median household income ($),Waitangi,Waitangi,50600,nzd,NZD,
2013,Median household income ($),Waitangi,Waitangi,50200,nzd,NZD,
2001,Median household income ($),Pokere-Waihaha,Pokere-Waihaha,28900,nzd,NZD,
2006,Median household income ($),Pokere-Waihaha,Pokere-Waihaha,36900,nzd,NZD,
2013,Median household income ($),Pokere-Waihaha,Pokere-Waihaha,45400,nzd,NZD,
2001,Median household income ($),Okaihau,Okaihau,28500,nzd,NZD,
2006,Median household income ($),Okaihau,Okaihau,45700,nzd,NZD,
2013,Median household income ($),Okaihau,Okaihau,53800,nzd,NZD,
2001,Median household income ($),Ohaeawai,Ohaeawai,32200,nzd,NZD,
2006,Median household income ($),Ohaeawai,Ohaeawai,47100,nzd,NZD,
2013,Median household income ($),Ohaeawai,Ohaeawai,49400,nzd,NZD,
2001,Median household income ($),Waihou Valley-Hupara,Waihou Valley-Hupara,40100,nzd,NZD,
2006,Median household income ($),Waihou Valley-Hupara,Waihou Valley-Hupara,51500,nzd,NZD,
2013,Median household income ($),Waihou Valley-Hupara,Waihou Valley-Hupara,56900,nzd,NZD,
2001,Median household income ($),Ngapuhi-Kaikou,Ngapuhi-Kaikou,28400,nzd,NZD,
2006,Median household income ($),Ngapuhi-Kaikou,Ngapuhi-Kaikou,38600,nzd,NZD,
2013,Median household income ($),Ngapuhi-Kaikou,Ngapuhi-Kaikou,45400,nzd,NZD,
2001,Median household income ($),Kaikohe,Kaikohe,26900,nzd,NZD,
2006,Median household income ($),Kaikohe,Kaikohe,34700,nzd,NZD,
2013,Median household income ($),Kaikohe,Kaikohe,33200,nzd,NZD,
2001,Median household income ($),Opouteke-Tanekaha,Opouteke-Tanekaha,44400,nzd,NZD,
2006,Median household income ($),Opouteke-Tanekaha,Opouteke-Tanekaha,59300,nzd,NZD,
2013,Median household income ($),Opouteke-Tanekaha,Opouteke-Tanekaha,67800,nzd,NZD,
2001,Median household income ($),Marsden Point-Ruakaka,Marsden Point-Ruakaka,28400,nzd,NZD,
2006,Median household income ($),Marsden Point-Ruakaka,Marsden Point-Ruakaka,40600,nzd,NZD,
2013,Median household income ($),Marsden Point-Ruakaka,Marsden Point-Ruakaka,52000,nzd,NZD,
2001,Median household income ($),Ngunguru,Ngunguru,32100,nzd,NZD,
2006,Median household income ($),Ngunguru,Ngunguru,45300,nzd,NZD,
2013,Median household income ($),Ngunguru,Ngunguru,50100,nzd,NZD,
2001,Median household income ($),Wharekohe-Oakleigh,Wharekohe-Oakleigh,43100,nzd,NZD,
2006,Median household income ($),Wharekohe-Oakleigh,Wharekohe-Oakleigh,57600,nzd,NZD,
2013,Median household income ($),Wharekohe-Oakleigh,Wharekohe-Oakleigh,66300,nzd,NZD,
2001,Median household income ($),Maungatapere,Maungatapere,50200,nzd,NZD,
2006,Median household income ($),Maungatapere,Maungatapere,58500,nzd,NZD,
2013,Median household income ($),Maungatapere,Maungatapere,72200,nzd,NZD,
2001,Median household income ($),Waiotira-Springfield,Waiotira-Springfield,45300,nzd,NZD,
2006,Median household income ($),Waiotira-Springfield,Waiotira-Springfield,50100,nzd,NZD,
2013,Median household income ($),Waiotira-Springfield,Waiotira-Springfield,58300,nzd,NZD,
2001,Median household income ($),Whangaruru Harbour,Whangaruru Harbour,,nzd,NZD,confidential
2006,Median household income ($),Whangaruru Harbour,Whangaruru Harbour,,nzd,NZD,confidential
2013,Median household income ($),Whangaruru Harbour,Whangaruru Harbour,,nzd,NZD,confidential
2001,Median household income ($),Punaruku-Kiripaka,Punaruku-Kiripaka,35300,nzd,NZD,
