SUBURB,MEDIAN HOUSE PRICE (NZD)
ORIENTAL BAY (Wellington), 1807920
SEATOUN (Wellington), 1325884
KELBURN (Wellington), 1237852
KARAKA BAYS (Wellington), 1225803
KAIWHARAWHARA (Wellington), 1213231
LOWRY BAY (Lower Hutt), 1162153
MOUNT VICTORIA (Wellington), 1158312
ROSENEATH (Wellington), 1094849
MANGAROA (Upper Hutt), 1054780
KHANDALLAH (Wellington), 1004832
WHITEMANS VALLEY (Upper Hutt), 1001889
BREAKER BAY (Wellington),  987443    
WADESTOWN (Wellington), 984318 
HATAITAI (Wellington), 947204
DAYS BAY (Lower Hutt), 936304
HIGHBURY (Wellington), 930431
MOONSHINE VALLEY (Upper Hutt), 928290       
ISLAND BAY (Wellington), 923323
WOBURN (Lower Hutt), 912260
MAYMORN (Upper Hutt), 896846
AOTEA (Porirua), 894574
EASTBOURNE (Lower Hutt), 874328
MAHINA BAY (Lower Hutt), 870678
MELROSE (Wellington), 869604      
KAITOKE (Upper Hutt), 863530 
NORTHLAND (Wellington), 861252
SOUTHGATE (Wellington), 860036
BROOKLYN (Wellington), 853524
POINT HOWARD (Lower Hutt), 839570
PAUATAHANUI (Porirua), 839316
CHURTON PARK (Wellington), 835393       
MIRAMAR (Wellington), 834792
NEWTOWN (Wellington), 834517
HOUGHTON BAY (Wellington), 833281
LYALL BAY (Wellington), 833121
KARORI (Wellington), 827991
NGAIO (Wellington), 827701
HUTT CENTRAL (Lower Hutt), 827360      
WILTON (Wellington), 815603
YORK BAY (Lower Hutt), 814905
CROFTON DOWNS (Wellington), 788386
PLIMMERTON (Porirua), 785795
KINGSTON (Wellington), 781363
MORNINGTON (Wellington), 780193 
THORNDON (Wellington),    780070  
RIVERSTONE TERRACES (Upper Hutt), 776125 
MAUPUIA (Wellington), 773520
ARO VALLEY (Wellington), 769875
TIROHANGA (Lower Hutt), 769358
BERHAMPORE (Wellington), 769112 
STRATHMORE PARK (Wellington),  763595 
AKATARAWA (Upper Hutt),     762019  
VOGELTOWN (Wellington), 755166 
GRENADA VILLAGE (Wellington), 752416
KILBIRNIE (Wellington), 750734
CAMBORNE (Porirua), 748334
WAINUIOMATA COAST (Lower Hutt), 745390
AKATARAWA VALLEY (Upper Hutt),   742789 
WOODRIDGE (Wellington), 739147
RONGOTAI (Wellington), 735713 
WHITBY (Porirua), 729719
PETONE (Lower Hutt), 728565
PAREMATA (Porirua), 727133
PAPAKOWHAI (Porirua), 721413
BROADMEADOWS (Wellington),  717413    
KOROKORO (Lower Hutt), 710614
OWHIRO BAY (Wellington), 709858 
HARBOUR VIEW (Lower Hutt), 700214
ALICETOWN (Lower Hutt), 695834
NORMANDALE (Lower Hutt), 685315
BOULCOTT (Lower Hutt), 682749
MAUNGARAKI (Lower Hutt), 681236  
KINGSLEY HEIGHTS (Upper Hutt), 680087 
MOUNT COOK (Wellington),679540
TAWA (Wellington), 677433
WATERLOO (Lower Hutt),  676274
JOHNSONVILLE (Wellington), 674993
PAPARANGI (Wellington), 672997
SILVERSTREAM (Upper Hutt), 672264    
BELMONT (Lower Hutt), 664506
PUKERUA BAY (Porirua), 656427 
MANOR PARK (Lower Hutt), 645590
NEWLANDS (Wellington), 644535
FAIRFIELD (Lower Hutt), 638892
EPUNI (Lower Hutt), 637937
HERETAUNGA (Upper Hutt), 635200
KELSON (Lower Hutt), 623908
WAIWHETU (Lower Hutt), 606676
BROWN OWL (Upper Hutt), 601026
MAKARA (Wellington), 598436  
MELLING (Lower Hutt), 595311  
AVALON (Lower Hutt), 588223 
PINEHAVEN (Upper Hutt), 585493
BLUE MOUNTAINS (Upper Hutt), 574067
TE ARO (Wellington), 569475 
ELDERSLEA (Upper Hutt), 563022 
TRENTHAM (Upper Hutt), 545199
TE MARUA (Upper Hutt), 527609 
TOTARA PARK (Upper Hutt), 522481  
CLOUSTON PARK (Upper Hutt), 522000  
EBDENTOWN (Upper Hutt), 520300
TITAHI BAY (Porirua), 520119 
MOERA (Lower Hutt), 517459 
UPPER HUTT (Upper Hutt), 516710   
WALLACEVILLE (Upper Hutt), 516073   
GLENSIDE (Wellington), 513324 
GRENADA NORTH (Wellington), 502478 
BIRCHVILLE (Upper Hutt), 490284
MAORIBANK (Upper Hutt), 484955  
STOKES VALLEY (Lower Hutt), 471496 
ASCOT PARK (Porirua), 464175
TIMBERLEA (Upper Hutt), 458044 
NAENAE (Lower Hutt),  454704 
TAITA (Lower Hutt), 452237
RANUI (Porirua), 439798
ELSDON (Porirua) , 439261  
TAKAPUWAHIA (Porirua) , 421372 
WAINUIOMATA (Lower Hutt) , 420014
CANNONS CREEK (Porirua) , 379310 
WAITANGIRUA (Porirua) , 359054
WELLINGTON CENTRAL (Wellington), 336855 
PIPITEA (Wellington), 253911
