,Suburb,Suburb Latitude,Suburb Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
0,Newlands,-41.2231163,174.8222343,my french larder,-41.222211711978474,174.82035783715185,French Restaurant
1,Paparangi,-41.2148246,174.8167502,my french larder,-41.222211711978474,174.82035783715185,French Restaurant
2,Woodridge,-41.2164688,174.8325988,my french larder,-41.222211711978474,174.82035783715185,French Restaurant
3,Northland,-41.2823392,174.7573563,Aubergine,-41.27831,174.769842,French Restaurant
4,Wadestown,-41.2647151,174.7790775,Le Marche Francais,-41.2686536574982,174.78133142384794,French Restaurant
5,Wadestown,-41.2647151,174.7790775,La Cloche,-41.2592977787303,174.79090762158808,French Restaurant
6,Aro valley,-41.2953285,174.7665802,Le Mirage Patisserie & Cuisine Centrale,-41.294143953744296,174.77203667163846,French Restaurant
7,Aro valley,-41.2953285,174.7665802,La Recette,-41.29073,174.774325,French Restaurant
8,Kelburn,-41.289205,174.7623927,Le Mirage Patisserie & Cuisine Centrale,-41.294143953744296,174.77203667163846,French Restaurant
9,Kelburn,-41.289205,174.7623927,La Recette,-41.29073,174.774325,French Restaurant
10,Wellington central,-41.2821003,174.7759494,Aubergine,-41.27831,174.769842,French Restaurant
11,Wellington central,-41.2821003,174.7759494,La Recette,-41.29073,174.774325,French Restaurant
12,Mount victoria,-41.2970453,174.7874066,Frenchie,-41.294386,174.784941,French Restaurant
13,Mount cook,-41.3005712,174.7721374,Le Mirage Patisserie & Cuisine Centrale,-41.294143953744296,174.77203667163846,French Restaurant
14,Mount cook,-41.3005712,174.7721374,La Recette,-41.29073,174.774325,French Restaurant
15,Oriental bay,-41.2918354,174.793919,Frenchie,-41.294386,174.784941,French Restaurant
16,Te aro,-41.2924322,174.7788891,La Recette,-41.29073,174.774325,French Restaurant
17,Te aro,-41.2924322,174.7788891,Frenchie,-41.294386,174.784941,French Restaurant
18,Te aro,-41.2924322,174.7788891,Le Mirage Patisserie & Cuisine Centrale,-41.294143953744296,174.77203667163846,French Restaurant
19,Thorndon,-41.2745396,174.7756309,Le Marche Francais,-41.2686536574982,174.78133142384794,French Restaurant
20,Thorndon,-41.2745396,174.7756309,Aubergine,-41.27831,174.769842,French Restaurant
21,Pipitea,-41.2768345,174.7848189,Le Marche Francais,-41.2686536574982,174.78133142384794,French Restaurant
22,Newtown,-41.3110524,174.7780368,French Cancan,-41.31156272872951,174.77864631185014,French Restaurant
23,Vogeltown,-41.3129325,174.7688052,French Cancan,-41.31156272872951,174.77864631185014,French Restaurant
24,Mornington,-41.3168779,174.7689811,French Cancan,-41.31156272872951,174.77864631185014,French Restaurant
25,Lyall bay,-41.323407,174.7984817,La Rotisserie Du Canard,-41.314971766768465,174.80252756726614,French Restaurant
26,Kilbirnie,-41.3166456,174.7980932,La Rotisserie Du Canard,-41.314971766768465,174.80252756726614,French Restaurant
27,Miramar,-41.3133541,174.8196538,Bongusto,-41.31613729479378,174.81469077787236,French Restaurant
28,Seatoun,-41.3204044,174.8283014,Bongusto,-41.31613729479378,174.81469077787236,French Restaurant
29,Rongotai,-41.3225538,174.8051655,La Rotisserie Du Canard,-41.314971766768465,174.80252756726614,French Restaurant
30,Rongotai,-41.3225538,174.8051655,Bongusto,-41.31613729479378,174.81469077787236,French Restaurant
