,Suburb,Suburb Latitude,Suburb Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
0,Churton park,-41.2089378,174.8071379,Simmer,-41.20263441921184,174.8078525405957,Café
1,Churton park,-41.2089378,174.8071379,Cafe Thyme,-41.20584269635547,174.81201329601154,Café
2,Churton park,-41.2089378,174.8071379,New World,-41.20301769856738,174.8079138238545,Supermarket
3,Churton park,-41.2089378,174.8071379,Twigland Gardeners World,-41.205633,174.812385,Garden Center
4,Churton park,-41.2089378,174.8071379,Takeaways @ Churton,-41.20243164314638,174.80786195082754,Fish & Chips Shop
5,Glenside,-41.2060966,174.8124594,Simmer,-41.20263441921184,174.8078525405957,Café
6,Glenside,-41.2060966,174.8124594,Cafe Thyme,-41.20584269635547,174.81201329601154,Café
7,Glenside,-41.2060966,174.8124594,New World,-41.20301769856738,174.8079138238545,Supermarket
8,Glenside,-41.2060966,174.8124594,Twigland Gardeners World,-41.205633,174.812385,Garden Center
9,Glenside,-41.2060966,174.8124594,Takeaways @ Churton,-41.20243164314638,174.80786195082754,Fish & Chips Shop
10,Glenside,-41.2060966,174.8124594,Mark Avenue Park,-41.208155,174.819909,Park
11,Grenada north,-41.1862047,174.8379512,Grenada North Park,-41.186933,174.838838,Park
12,Grenada north,-41.1862047,174.8379512,Grenada Cricket Pitch 4A,-41.187937,174.838937,Cricket Ground
13,Grenada north,-41.1862047,174.8379512,TAG Paintball,-41.18386831729976,174.8394453111431,Paintball Field
14,Grenada north,-41.1862047,174.8379512,Printtastic,-41.180934,174.837395,Print Shop
15,Grenada north,-41.1862047,174.8379512,Countdown,-41.1866019262129,174.8309396100461,Supermarket
16,Horokiwi,-41.2009487,174.8459821,Trickle Creek,-41.201181,174.846172,River
17,Horokiwi,-41.2009487,174.8459821,Peacefull Rural Retreat,-41.195448,174.846494,Hotel
18,Johnsonville,-41.2203388,174.8027606,BurgerFuel,-41.224977,174.807472,Burger Joint
19,Johnsonville,-41.2203388,174.8027606,1841,-41.22470358977505,174.80754010915004,Bar
20,Johnsonville,-41.2203388,174.8027606,Countdown,-41.22264556638728,174.80562465230713,Supermarket
21,Johnsonville,-41.2203388,174.8027606,Nando's,-41.22436251513959,174.80642305906247,Portuguese Restaurant
22,Johnsonville,-41.2203388,174.8027606,Cityfitness Johnsonville,-41.22438632502109,174.8064817635628,Gym
23,Johnsonville,-41.2203388,174.8027606,KFC,-41.22185598187468,174.80784546006342,Fast Food Restaurant
24,Johnsonville,-41.2203388,174.8027606,The Warehouse,-41.22387560845265,174.80770178643402,Department Store
25,Johnsonville,-41.2203388,174.8027606,McDonald's,-41.223587,174.806258,Fast Food Restaurant
26,Johnsonville,-41.2203388,174.8027606,Bus stop no. 3000,-41.22339354131777,174.8049864170404,Bus Stop
27,Johnsonville,-41.2203388,174.8027606,Whitcoulls,-41.22339143090357,174.8064342084256,Bookstore
28,Johnsonville,-41.2203388,174.8027606,Subway,-41.2227442747819,174.80723931198554,Sandwich Place
29,Johnsonville,-41.2203388,174.8027606,Toyworld,-41.22423636345018,174.8056406254775,Toy / Game Store
30,Johnsonville,-41.2203388,174.8027606,Pita Pit,-41.223682,174.80696,English Restaurant
31,Johnsonville,-41.2203388,174.8027606,Civic Video Johnsonville,-41.22331114076858,174.8078303212617,Video Store
32,Johnsonville,-41.2203388,174.8027606,Nada Bakery,-41.22392942557643,174.8074094081471,Bakery
33,Johnsonville,-41.2203388,174.8027606,Joe's Food World,-41.22428107654652,174.80735729179634,Burger Joint
34,Johnsonville,-41.2203388,174.8027606,Starbucks,-41.2243,174.807723,Coffee Shop
35,Johnsonville,-41.2203388,174.8027606,Alex Moore Park,-41.22576636898804,174.8013505729304,Baseball Stadium
36,Johnsonville,-41.2203388,174.8027606,Domino's Pizza,-41.22491,174.807389,Pizza Place
37,Johnsonville,-41.2203388,174.8027606,Sawasdee Thai Restaurant,-41.225031815745915,174.8072353013074,Thai Restaurant
38,Johnsonville,-41.2203388,174.8027606,Countdown,-41.224185043090536,174.80770401538118,Supermarket
39,Johnsonville,-41.2203388,174.8027606,Bus stop 3268,-41.225443134850174,174.80718130936697,Bus Stop
40,Johnsonville,-41.2203388,174.8027606,Daawat,-41.22579778443391,174.8070569851424,Indian Restaurant
41,Newlands,-41.2231163,174.8222343,New World,-41.220675286547376,174.82471029790094,Supermarket
42,Newlands,-41.2231163,174.8222343,curry to go,-41.222818464735845,174.82273648202414,Indian Restaurant
43,Newlands,-41.2231163,174.8222343,Hell Pizza,-41.22318829835317,174.82187569911778,Pizza Place
44,Newlands,-41.2231163,174.8222343,Chilis Indian Restaurant,-41.223172001189496,174.82305853757123,Indian Restaurant
45,Newlands,-41.2231163,174.8222343,Newlands Pharmacy,-41.22066352103026,174.82466281986257,Pharmacy
46,Newlands,-41.2231163,174.8222343,Glad Espresso,-41.22066846496242,174.82471658581318,Coffee Shop
47,Newlands,-41.2231163,174.8222343,Newlands Park,-41.22602456094783,174.81934930243276,Park
48,Newlands,-41.2231163,174.8222343,52 Bus: Johnsonville - Newlands - Wellington,-41.22636012235673,174.81837131228886,Bus Line
49,Paparangi,-41.2148246,174.8167502,Paparangi Four Square,-41.214865856383824,174.81774987231245,Grocery Store
50,Paparangi,-41.2148246,174.8167502,Studio Von,-41.21551079245134,174.81475464014417,Photography Studio
51,Paparangi,-41.2148246,174.8167502,Wellington PC Repairs,-41.2141224,174.81449229999998,Other Repair Shop
52,Paparangi,-41.2148246,174.8167502,Johnsonville Rugby Club,-41.220334,174.813861,Rugby Pitch
53,Tawa,-41.1681676,174.8247761,el Porteño,-41.173668,174.82433,Café
54,Tawa,-41.1681676,174.8247761,New World,-41.169872,174.82616,Supermarket
55,Tawa,-41.1681676,174.8247761,Subway Tawa,-41.169293950351936,174.82495773899348,Sandwich Place
56,Tawa,-41.1681676,174.8247761,Supreme Fast Food,-41.169141,174.824906,Fast Food Restaurant
57,Tawa,-41.1681676,174.8247761,The Pink Pineapple,-41.16859932319052,174.82519651752693,Bakery
58,Tawa,-41.1681676,174.8247761,Kadai Junction,-41.16915711047031,174.82518123813188,Indian Restaurant
59,Tawa,-41.1681676,174.8247761,Village Bakery,-41.17008303827563,174.82518123813188,Bakery
60,Tawa,-41.1681676,174.8247761,Mac's Photo & Lotto,-41.1703000832134,174.82500448062194,Photography Lab
61,Tawa,-41.1681676,174.8247761,United Video Tawa,-41.17034866415963,174.82481453141898,Video Store
62,Tawa,-41.1681676,174.8247761,Tawa Fish Supply 1989,-41.170528972071125,174.82497751247237,Fish Market
63,Tawa,-41.1681676,174.8247761,Take Note Tawa,-41.166646554558575,174.82728818872144,Paper / Office Supplies Store
64,Tawa,-41.1681676,174.8247761,The Borough,-41.170917,174.825101,Bar
65,Tawa,-41.1681676,174.8247761,Tawa Railway Station,-41.17005205062675,174.82748673247852,Train Station
66,Tawa,-41.1681676,174.8247761,Grasslees Reserve,-41.164968725241806,174.82803841356437,Park
67,Tawa,-41.1681676,174.8247761,Oxford Fish And Chips,-41.17358,174.82484,Fish & Chips Shop
68,Tawa,-41.1681676,174.8247761,Thai Country Cafe,-41.1736598007193,174.8246464567182,Thai Restaurant
69,Takapu valley,-41.1792889,174.8403197,Printtastic,-41.180934,174.837395,Print Shop
